20161203,03,04,07,19,30,48,21
20161207,06,07,12,32,34,46,33
20161210,03,37,40,41,47,49,06
20161214,20,22,40,41,42,47,15
20161217,09,16,26,27,32,34,37
20161221,16,27,30,38,47,49,08
20161224,15,20,23,27,39,48,34
20161228,01,05,10,15,40,41,27
20161231,03,05,14,18,26,28,40
20161102,04,07,09,21,25,42,49
20161105,11,17,26,27,37,48,31
20161109,06,09,30,37,43,49,18
20161112,02,04,06,22,25,42,44
20161116,03,05,06,09,33,47,19
20161119,09,11,21,26,28,45,49
20161123,06,12,13,21,31,42,22
20161126,13,14,31,39,42,45,44
20161130,15,16,20,24,26,31,37
20161001,07,18,22,31,38,39,02
20161005,01,03,31,32,39,49,48
20161008,03,27,33,38,42,48,32
20161012,08,28,31,40,42,47,37
20161015,08,29,30,37,41,44,06
20161019,04,21,28,33,38,41,23
20161022,13,24,29,31,33,47,43
20161026,15,17,24,27,42,47,39
20161029,21,25,26,29,36,45,38
20160102,10,12,16,20,27,36,25
20160106,02,35,37,39,43,44,20
20160109,05,22,30,33,45,48,29
20160113,06,08,25,39,46,47,28
20160116,09,21,29,34,38,42,13
20160120,07,19,32,39,40,48,45
20160123,21,31,34,37,38,44,09
20160127,04,13,24,36,39,41,47
20160130,04,05,32,37,38,44,34
20160203,20,23,34,38,43,47,15
20160206,07,19,25,26,31,44,35
20160210,08,13,33,34,38,43,12
20160213,02,09,25,27,31,42,18
20160217,07,21,28,32,38,42,05
20160220,04,08,10,30,33,39,25
20160224,14,18,35,38,41,43,15
20160227,04,11,20,23,41,45,22
20160302,20,27,30,32,34,40,09
20160305,07,13,27,33,35,36,05
20160309,03,05,11,16,21,45,29
20160312,06,27,30,34,35,42,16
20160316,01,03,07,16,17,37,35
20160319,01,10,11,12,19,27,29
20160323,04,06,13,28,29,36,09
20160326,09,11,20,22,37,46,47
20160330,14,27,28,30,45,46,44
20160402,02,15,21,40,41,44,23
20160406,01,03,05,08,13,31,21
20160409,12,29,34,44,47,49,37
20160413,10,14,23,41,42,47,19
20160416,09,12,21,37,38,43,31
20160420,01,02,07,09,18,27,05
20160423,14,29,37,41,48,49,31
20160427,03,18,28,29,37,43,47
20160430,01,07,18,28,30,34,48
20160504,04,16,19,22,36,40,21
20160507,06,08,25,31,32,33,01
20160511,04,23,25,36,47,48,03
20160514,08,21,24,33,41,46,29
20160518,04,11,21,25,44,47,03
20160521,06,10,37,39,42,48,28
20160525,04,17,18,24,29,39,21
20160528,18,29,31,36,43,47,23
20160601,02,10,14,23,26,31,12
20160604,03,04,06,10,18,26,14
20160608,06,23,34,35,38,44,21
20160611,09,28,36,37,40,46,47
20160615,07,16,22,27,35,49,11
20160618,07,08,22,32,40,45,25
20160622,05,15,17,18,37,42,44
20160625,04,05,06,08,39,42,30
20160629,08,11,20,24,41,42,47
20160702,01,16,28,33,39,45,13
20160706,07,12,22,35,39,43,13
20160709,23,28,30,32,42,44,24
20160713,02,07,25,30,34,36,06
20160716,15,25,26,33,38,47,27
20160720,14,15,16,43,44,46,38
20160727,06,07,09,39,47,49,15
20160730,04,05,09,19,22,23,16
20160803,23,30,38,40,43,45,10
20160806,02,07,22,26,32,38,20
20160810,06,25,26,29,37,43,41
20160813,03,04,15,17,38,47,36
20160817,02,12,19,38,41,47,46
20160820,11,20,26,32,39,43,49
20160824,04,17,22,30,36,38,03
20160827,03,14,16,33,47,48,29
20160831,08,10,17,36,39,44,40
20160903,01,15,17,20,23,43,44
20160907,04,08,30,31,35,43,42
20160910,06,13,22,39,40,41,27
20160914,03,05,17,18,35,46,10
20160917,14,16,25,39,45,47,26
20160921,06,21,33,36,39,46,24
20160924,02,05,17,23,33,47,09
20160928,08,11,14,19,42,49,24
20170104,02,11,13,23,35,48,30
20170107,01,10,18,19,23,27,48
20170111,24,34,36,38,42,43,30
20170114,01,06,19,30,32,44,33
20170118,10,17,20,24,33,35,28
20170121,08,22,23,36,40,42,05
20170125,02,14,19,28,42,44,34
20170128,09,10,23,28,41,47,17
20170201,05,09,11,36,42,43,41
20170204,02,08,09,13,41,44,27
20170208,03,04,08,12,13,46,26
20170211,10,11,21,28,38,44,17
20170215,01,16,17,24,41,46,22
20170218,11,13,14,20,43,49,25
20170222,09,21,25,26,31,41,11
20170225,21,23,31,33,38,42,22
20170301,06,14,17,18,31,43,38
20170304,05,16,24,31,38,47,42
20170308,10,17,24,28,35,36,40
20170311,06,10,11,23,42,47,44
20170315,16,17,21,34,37,46,03
20170318,06,16,29,33,41,48,23
20170322,02,03,05,27,40,46,28
20170325,05,09,14,24,30,35,21
20170329,03,12,16,17,22,30,48
20170405,03,10,19,30,44,48,40
20170408,04,09,10,15,38,39,49
20170412,07,19,37,38,41,42,11
20170415,11,19,22,23,41,46,05
20170401,27,40,41,42,45,46,20
